Measure-Key,Meta Network,
averageDistance-3,4.021,
averageSpeed-3,0.249,
betweennessCentralization-3,0.196,
closenessCentralization-3,0,
diameter-3,4212677,
diameterReachable-3,11,
eigenvectorCentralization-2,0.175,
inClosenessCentralization-3,0,
minimumSpeed-3,0.091,
radialityCentrality-3,0,
